Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Шахрай,Ярослава,Натанович,Жінка,1970.06.14,Етнограф,селище Берестечко,"провулок Лазурний 1-й, буд. 3 кв. 046, Кілія, 99647",+380 (80) 756-54-43,bohdanna96@example.com
Засенко,Орися,Михайлович,Жінка,1972.12.20,Петрограф,місто Долина ,"вулиця Лиманчик 2-й Лінія 4-та, буд. 329, Щастя , 04712",037 600 09 01,bparasiuk@example.com
Стець,Вікторія,Соломонівна,Жінка,2001.07.13,Модельєр,хутір Герца,"проспект Дністровська, буд. 05, Решетилівка, 03059",998-52-14,bkozachenko@example.com
Дергач,Святослав,Русланович,Чоловік,1965.11.24,Дерун,хутір Вільнянськ,"сквер Сєченова, буд. 577 кв. 63, Молочанськ, 33541",+380 40 939-06-99,omeliankhudobiak@example.com
Іщенко,Гордій,Лаврінівна,Чоловік,1955.06.07,Юрист,місто Ковель,"узвіз Вчительської, 2-й, буд. 964, Енергодар, 69357",002 32 88,danyloprotsenko@example.net
Кармалюк,Панас,Трифонівна,Чоловік,1955.09.24,Няня,місто Бровари,"набережна Новощіпний ряд, буд. 4 кв. 098, Вуглегірськ, 35489",340 31 72,vasylynakorbut@example.org
Хмара,Венедикт,Костянтинівна,Чоловік,1983.08.22,Музичний редактор,селище Дубровиця,"парк Лізи Чайкіної, буд. 055, Новий Калинів, 53964",045 672-70-27,qshvachka@example.org
Швайка,Адам,Климентівна,Чоловік,1956.02.28,Кур'єр,місто Дружба ,"проспект Тимірязєва 3-й, буд. 8 кв. 8, Нове Давидково, 36461",050 629 57 37,pavlomykytiuk@example.org
Онищенко,Теодор,Макарович,Чоловік,2007.08.30,Електрослюсар,селище Черкаси,"набережна Пушкінська, буд. 27 кв. 8, Рудки, 16727",957 04 38,vysochanvarfolomii@example.org
Єфименко,Марія,Мірілівна,Жінка,1958.06.08,Сантехнік,хутір Новояворівськ,"площа Махачкалинська, буд. 103, Баранівка, 08252",+380 (92) 372-59-46,usykmykyta@example.net
Гаєвський,Ярослава,Семіонівна,Жінка,2001.04.11,Співак,селище Ровеньки,"проспект Братська, буд. 541, Олевськ, 36705",083 221 63 87,kamillaarkhymovych@example.com
Вернидуб,Віолетта,Юхимович,Жінка,1952.08.18,Випробувач,село Вилкове,"вулиця Троїцького Миколи, буд. 463 кв. 6, Ржищів, 94490",075 733 12 72,jchumak@example.net
Філіпенко,Михайлина,Афанасіївна,Жінка,1969.11.06,Хореограф,місто Бахчисарай,"вулиця 6-та Лінія 6-й ст. Люстдорфської дороги, буд. 423, Вільногірськ, 19188",+380 65 927-48-42,ielysei08@example.org
Андріїшин,Демʼян,Семіонівна,Чоловік,1952.08.14,Зоолог,місто Алмазна,"провулок Депутатський, буд. 3, Ужгород, 91015",+380 55 607-99-15,kivasiuk@example.com
Щербак,Герман,Кирилівна,Чоловік,1984.11.07,Лікар,місто Новодружеськ,"площа Колонтаївська, буд. 5, Глобине, 69152",853-56-84,valeriiizhak@example.net
Верес,Гордій,Зосимівна,Чоловік,1956.01.01,Графік,село Рогатин,"провулок Новгородська, буд. 3 кв. 77, Первомайськ, 61496",602 56 15,olena79@example.org
Кабалюк,Валерій,Анікітівна,Чоловік,1959.03.16,Паралегал,село Могилів-Подільський,"провулок Олександра Вронського, буд. 404, Карлівка, 11121",+380 58 249-70-69,ruslan70@example.org
